"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,581,444","100"
"2","apple.com","4,538,432","100"
"3","www.google.com","12,031,380","100"
"4","play.google.com","2,337,145","99"
"5","microsoft.com","4,204,704","99"
"6","support.google.com","4,511,052","99"
"7","docs.google.com","2,228,090","99"
"8","www.blogger.com","25,068,859","99"
"9","cloudflare.com","5,089,845","98"
"10","adobe.com","2,896,052","98"
"11","maps.google.com","4,459,443","98"
"12","en.wikipedia.org","5,473,768","98"
"13","wordpress.org","9,727,241","98"
"14","plus.google.com","12,249,488","98"
"15","linkedin.com","8,704,417","98"
"16","mozilla.org","1,927,435","97"
"17","youtu.be","3,848,497","97"
"18","googleusercontent.com","2,152,817","97"
"19","sites.google.com","1,666,680","97"
"20","accounts.google.com","2,531,393","97"
"21","vimeo.com","3,122,576","97"
"22","europa.eu","1,670,112","97"
"23","drive.google.com","1,739,999","97"
"24","es.wikipedia.org","775,950","96"
"25","facebook.com","45,347,824","96"
"26","medium.com","1,105,434","96"
"27","istockphoto.com","3,071,860","96"
"28","github.com","1,974,706","96"
"29","bp.blogspot.com","15,874,970","96"
"30","vk.com","1,609,676","96"
"31","bbc.co.uk","1,424,146","96"
"32","amazon.com","4,003,454","96"
"33","cnn.com","1,226,845","96"
"34","feedburner.com","1,752,235","95"
"35","bbc.com","665,605","95"
"36","msn.com","997,900","95"
"37","mail.ru","481,136","95"
"38","policies.google.com","1,035,692","95"
"39","reuters.com","733,977","95"
"40","w3.org","1,064,412","95"
"41","myspace.com","1,275,648","95"
"42","mail.google.com","435,134","95"
"43","google.co.uk","544,357","95"
"44","nytimes.com","1,687,782","95"
"45","aliexpress.com","449,554","95"
"46","developers.google.com","888,771","95"
"47","networkadvertising.org","709,369","95"
"48","washingtonpost.com","869,607","95"
"49","news.google.com","684,630","95"
"50","jimdofree.com","1,652,303","95"
"51","photos.google.com","232,010","95"
"52","www.yahoo.com","920,006","95"
"53","gstatic.com","584,064","95"
"54","google.de","1,095,207","95"
"55","who.int","2,267,716","95"
"56","google.co.jp","632,030","95"
"57","paypal.com","888,324","95"
"58","t.me","486,652","95"
"59","imdb.com","1,239,624","95"
"60","dropbox.com","934,112","95"
"61","hugedomains.com","5,125,542","95"
"62","globo.com","384,223","95"
"63","dailymotion.com","1,075,020","95"
"64","google.es","414,251","95"
"65","forbes.com","932,874","95"
"66","live.com","738,275","95"
"67","pt.wikipedia.org","358,558","95"
"68","wikimedia.org","1,366,845","95"
"69","slideshare.net","869,591","95"
"70","fr.wikipedia.org","533,742","95"
"71","nih.gov","1,042,869","95"
"72","google.fr","384,451","95"
"73","line.me","573,368","95"
"74","google.com.br","264,744","95"
"75","theguardian.com","1,198,507","95"
"76","uol.com.br","561,606","95"
"77","creativecommons.org","1,546,137","95"
"78","whatsapp.com","1,614,875","95"
"79","ft.com","351,663","94"
"80","wikia.com","467,558","94"
"81","android.com","268,879","94"
"82","pinterest.com","7,094,758","94"
"83","lefigaro.fr","178,573","94"
"84","wsj.com","809,663","94"
"85","picasa.google.com","248,825","94"
"86","dailymail.co.uk","784,256","94"
"87","ig.com.br","133,341","94"
"88","huffingtonpost.com","891,222","94"
"89","get.google.com","535,928","94"
"90","usatoday.com","635,467","94"
"91","scribd.com","645,038","94"
"92","nypost.com","280,046","94"
